ModR/M (dec),ModR/M,MOD,REG,RM,Effective Address,r32,r16,r8,mm,xmm,/digit
244,F4,3,6,4,esp,esi,SI,DH,MM1,XMM2,"6"
245,F5,3,6,5,ebp,esi,SI,DH,MM1,XMM2,"6"
246,F6,3,6,6,esi,esi,SI,DH,MM6,XMM6,"6"
247,F7,3,6,7,edi,esi,SI,DH,MM1,XMM2,"6"
248,F8,3,7,0,eax,edi,DI,BH,MM1,XMM2,"7"
249,F9,3,7,1,ecx,edi,DI,BH,MM1,XMM2,"7"
250,FA,3,7,2,edx,edi,DI,BH,MM1,XMM2,"7"
251,FB,3,7,3,ebx,edi,DI,BH,MM1,XMM2,"7"
252,FC,3,7,4,esp,edi,DI,BH,MM1,XMM2,"7"
253,FD,3,7,5,ebp,edi,DI,BH,MM1,XMM2,"7"
254,FE,3,7,6,esi,edi,DI,BH,MM1,XMM2,"7"
255,FF,3,7,7,edi,edi,DI,BH,MM7,XMM7,"7"
